n_samples,history_size_s,batch_size,runs,T_measured_ms,drop_observed,q_peak_p95,proc_hz_mean,overhead_pct,compute_pct
1000,4,1,1,8.404,yes,500.0,118.64,97.7,2.3
1000,4,8,1,9.945,no,2.0,249.97,83.9,16.1
1000,4,16,1,11.648,no,2.0,249.97,72.3,27.7
1000,4,32,1,14.978,no,2.0,250.38,56.6,43.4
1000,4,64,1,21.422,no,4.0,250.38,39.5,60.5
1000,4,128,1,33.349,no,1.0,252.0,24.6,75.4
2500,10,1,1,26.843,yes,500.0,37.34,97.5,2.5
2500,10,8,1,31.625,no,7.0,250.0,83.1,16.9
2500,10,16,1,37.09,no,9.0,249.92,71.0,29.0
2500,10,32,1,47.969,no,11.0,250.03,55.1,44.9
2500,10,64,1,69.493,no,17.0,250.39,38.0,62.0
2500,10,128,1,111.579,no,26.0,250.27,23.5,76.5
5000,20,1,1,56.645,yes,500.0,17.7,97.4,2.6
5000,20,8,1,67.305,yes,500.0,119.17,82.6,17.4
5000,20,16,1,79.079,yes,500.0,202.18,70.3,29.7
5000,20,32,1,102.581,no,25.0,249.92,54.2,45.8
5000,20,64,1,149.27,no,37.0,249.57,37.2,62.8
5000,20,128,3,241.77,no,1.0,252.0,22.8,77.2
