tag,batch_size,history_size_s,sampling_rate_hz,n_samples,n_bytes,run_id,row_count,batch_us_mean,batch_us_std,batch_us_min,batch_us_max,dropped_total,drop_rate_per_s,q_peak_p95,heap8_free_min_b,proc_hz_mean,status
B001_n1000_run1,1,4,250,1000,4000,1,44,8403.7,28.1,8399.0,8585.0,5248,119.98,500,200824,118.64,ok
B008_n1000_run1,8,4,250,1000,4000,1,44,9944.6,28.2,9905.0,10076.0,0,0.0,2,200856,249.97,ok
B016_n1000_run1,16,4,250,1000,4000,1,44,11647.8,28.1,11600.0,11779.0,0,0.0,2,200824,249.97,ok
B032_n1000_run1,32,4,250,1000,4000,1,44,14978.4,28.2,14942.0,15156.0,0,0.0,2,200824,250.38,ok
B064_n1000_run1,64,4,250,1000,4000,1,44,21422.2,28.8,21379.0,21662.0,0,0.0,4,200824,250.38,ok
B128_n1000_run1,128,4,250,1000,4000,1,44,33348.5,29.3,33311.0,33626.0,0,0.0,1,200920,252.0,ok
B001_n2500_run1,1,10,250,2500,10000,1,93,26842.8,200.8,26320.0,26976.0,19408,207.33,500,149340,37.34,ok
B008_n2500_run1,8,10,250,2500,10000,1,93,31624.9,136.9,31123.0,31782.0,0,0.0,7,149340,250.0,ok
B016_n2500_run1,16,10,250,2500,10000,1,93,37089.9,135.5,36591.0,37219.0,0,0.0,9,149560,249.92,ok
B032_n2500_run1,32,10,250,2500,10000,1,93,47968.6,136.6,47469.0,48078.0,0,0.0,11,149560,250.03,ok
B064_n2500_run1,64,10,250,2500,10000,1,93,69492.5,135.9,68991.0,69708.0,0,0.0,17,149560,250.39,ok
B128_n2500_run1,128,10,250,2500,10000,1,93,111579.0,135.3,111085.0,111987.0,0,0.0,26,149656,250.27,ok
B001_n5000_run1,1,20,250,5000,20000,1,114,56644.5,144.2,56188.0,56706.0,26231,227.98,500,62396,17.7,ok
B008_n5000_run1,8,20,250,5000,20000,1,93,67304.7,418.0,66486.0,67810.0,11759,125.67,500,62520,119.17,ok
B016_n5000_run1,16,20,250,5000,20000,1,93,79079.2,336.4,78240.0,79563.0,4002,42.77,500,62520,202.18,ok
B032_n5000_run1,32,20,250,5000,20000,1,93,102580.8,362.8,101683.0,102981.0,0,0.0,25,62520,249.92,ok
B064_n5000_run1,64,20,250,5000,20000,1,93,149270.2,362.4,148338.0,149779.0,0,0.0,37,62520,249.57,ok
B128_n5000_run1,128,20,250,5000,20000,1,23,241770.0,403.4,240687.0,242587.0,0,0.0,1,62204,252.0,ok
B128_n5000_run2,128,20,250,5000,20000,2,23,241770.0,403.4,240687.0,242587.0,0,0.0,1,62204,252.0,ok
B128_n5000_run3,128,20,250,5000,20000,3,23,241770.0,403.5,240687.0,242587.0,0,0.0,1,62204,252.0,ok
