n_samples,history_size_s,batch_size,T_measured_us,T_measured_ms,T_model_us,T_model_ms,overhead_fixed_us,overhead_fixed_ms,compute_per_sample_us,compute_per_sample_ms,overhead_pct,compute_pct
1000,4,1,8403.7,8.404,8403.7,8.404,8207.3,8.207,196.416,0.1964,97.7,2.3
1000,4,8,9944.6,9.945,9778.6,9.779,8207.3,8.207,196.416,0.1964,83.9,16.1
1000,4,16,11647.8,11.648,11349.9,11.35,8207.3,8.207,196.416,0.1964,72.3,27.7
1000,4,32,14978.4,14.978,14492.6,14.493,8207.3,8.207,196.416,0.1964,56.6,43.4
1000,4,64,21422.2,21.422,20777.9,20.778,8207.3,8.207,196.416,0.1964,39.5,60.5
1000,4,128,33348.5,33.349,33348.5,33.349,8207.3,8.207,196.416,0.1964,24.6,75.4
2500,10,1,26842.8,26.843,26842.8,26.843,26175.6,26.176,667.214,0.6672,97.5,2.5
2500,10,8,31624.9,31.625,31513.3,31.513,26175.6,26.176,667.214,0.6672,83.1,16.9
2500,10,16,37089.9,37.09,36851.0,36.851,26175.6,26.176,667.214,0.6672,71.0,29.0
2500,10,32,47968.6,47.969,47526.4,47.526,26175.6,26.176,667.214,0.6672,55.1,44.9
2500,10,64,69492.5,69.493,68877.3,68.877,26175.6,26.176,667.214,0.6672,38.0,62.0
2500,10,128,111579.0,111.579,111579.0,111.579,26175.6,26.176,667.214,0.6672,23.5,76.5
5000,20,1,56644.5,56.645,56644.5,56.645,55186.8,55.187,1457.681,1.4577,97.4,2.6
5000,20,8,67304.7,67.305,66848.3,66.848,55186.8,55.187,1457.681,1.4577,82.6,17.4
5000,20,16,79079.2,79.079,78509.7,78.51,55186.8,55.187,1457.681,1.4577,70.3,29.7
5000,20,32,102580.8,102.581,101832.6,101.833,55186.8,55.187,1457.681,1.4577,54.2,45.8
5000,20,64,149270.2,149.27,148478.4,148.478,55186.8,55.187,1457.681,1.4577,37.2,62.8
5000,20,128,241770.0,241.77,241770.0,241.77,55186.8,55.187,1457.681,1.4577,22.8,77.2
