n_samples,history_size_s,batch_size,T_measured_us,T_measured_ms,T_model_us,T_model_ms,overhead_fixed_us,overhead_fixed_ms,compute_per_sample_us,compute_per_sample_ms,overhead_pct,compute_pct
1000,4,1,8403.7,8.404,8680.9,8.681,8484.8,8.485,196.131,0.1961,97.7,2.3
1000,4,8,9944.6,9.945,10053.8,10.054,8484.8,8.485,196.131,0.1961,84.4,15.6
1000,4,16,11647.8,11.648,11622.9,11.623,8484.8,8.485,196.131,0.1961,73.0,27.0
1000,4,32,14978.4,14.978,14761.0,14.761,8484.8,8.485,196.131,0.1961,57.5,42.5
1000,4,64,21422.2,21.422,21037.1,21.037,8484.8,8.485,196.131,0.1961,40.3,59.7
1000,4,128,33348.5,33.349,33589.5,33.59,8484.8,8.485,196.131,0.1961,25.3,74.7
2500,10,1,26842.8,26.843,27078.1,27.078,26410.9,26.411,667.198,0.6672,97.5,2.5
2500,10,8,31624.9,31.625,31748.5,31.748,26410.9,26.411,667.198,0.6672,83.2,16.8
2500,10,16,37089.9,37.09,37086.1,37.086,26410.9,26.411,667.198,0.6672,71.2,28.8
2500,10,32,47968.6,47.969,47761.2,47.761,26410.9,26.411,667.198,0.6672,55.3,44.7
2500,10,64,69492.5,69.493,69111.6,69.112,26410.9,26.411,667.198,0.6672,38.2,61.8
2500,10,128,111579.0,111.579,111812.2,111.812,26410.9,26.411,667.198,0.6672,23.6,76.4
5000,20,1,56644.5,56.645,57139.5,57.139,55683.5,55.683,1456.019,1.456,97.5,2.5
5000,20,8,67304.7,67.305,67331.6,67.332,55683.5,55.683,1456.019,1.456,82.7,17.3
5000,20,16,79079.2,79.079,78979.8,78.98,55683.5,55.683,1456.019,1.456,70.5,29.5
5000,20,32,102580.8,102.581,102276.1,102.276,55683.5,55.683,1456.019,1.456,54.4,45.6
5000,20,64,149270.2,149.27,148868.7,148.869,55683.5,55.683,1456.019,1.456,37.4,62.6
5000,20,128,241770.0,241.77,242053.8,242.054,55683.5,55.683,1456.019,1.456,23.0,77.0
