esp_uptime_ms,q_used,q_free,q_peak,produced_count,produced_hz,processed_count,processed_hz,dropped,batches,proc_est_pct,batch_us_avg,batch_us_min,batch_us_max,e2e_us_avg,e2e_us_min,e2e_us_max,stack_acq_b,stack_proc_b,stack_mon_b,heap8_free_b,heap8_largest_b
281,1,499,1,1,1.0,0,0.0,0,0,0.00,0.0,4294967295,0,0.0,4294967295,0,6148,15448,5472,149896,110592
1307,1,499,1,257,249.5,192,187.1,0,3,20.27,69317.0,69098,69708,69337.0,69118,69728,6148,15432,4096,149656,110592
2323,0,500,1,511,250.0,448,252.0,0,7,27.19,69063.8,68998,69708,69084.0,69018,69728,6148,15432,4096,149656,110592
3340,0,500,1,766,250.7,704,251.7,0,11,27.15,69020.5,68991,69708,69040.8,69011,69728,6148,15432,4096,149560,110592
4356,0,500,1,1020,250.0,960,252.0,0,15,27.17,69010.0,68991,69708,69030.5,69011,69728,6148,15432,4096,149560,110592
5372,0,500,1,1274,250.0,1216,252.0,0,19,27.18,69044.5,68991,69708,69065.0,69011,69728,6148,15432,4096,149560,110592
6388,0,500,1,1528,250.0,1472,252.0,0,23,27.19,69060.5,68991,69708,69081.0,69011,69728,6148,15432,4096,149560,110592
7404,0,500,1,1782,250.0,1728,252.0,0,27,27.18,69048.5,68991,69708,69069.0,69011,69728,6148,15432,4096,149560,110592
8420,0,500,1,2036,250.0,1984,252.0,0,31,27.24,69177.0,68991,69708,69197.5,69011,69728,6148,15432,4096,149560,110592
9436,0,500,1,2290,250.0,2240,252.0,0,35,27.27,69266.5,68991,69708,69287.0,69011,69728,6148,15432,4096,149560,110592
10452,0,500,1,2544,250.0,2496,252.0,0,39,27.28,69298.2,68991,69708,69318.8,69011,69728,6148,15432,4096,149560,110592
11468,0,500,1,2798,250.0,2752,252.0,0,43,27.33,69419.5,68991,69708,69440.0,69011,69728,6148,15432,4096,149560,110592
12484,0,500,1,3052,250.0,3008,252.0,0,47,27.36,69497.5,68991,69708,69518.0,69011,69728,6148,15432,4096,149560,110592
13500,0,500,1,3306,250.0,3264,252.0,0,51,27.35,69473.8,68991,69708,69494.2,69011,69728,6148,15432,4096,149560,110592
14516,0,500,1,3560,250.0,3520,252.0,0,55,27.34,69453.2,68991,69708,69473.8,69011,69728,6148,15432,4096,149560,110592
15532,0,500,1,3814,250.0,3776,252.0,0,59,27.35,69478.5,68991,69708,69498.5,69011,69728,6148,15432,4096,149560,110592
16548,0,500,1,4068,250.0,4032,252.0,0,63,27.36,69488.5,68991,69708,69508.5,69011,69728,6148,15432,4096,149560,110592
17564,0,500,1,4322,250.0,4288,252.0,0,67,27.35,69465.2,68991,69708,69485.2,69011,69728,6148,15432,4096,149560,110592
