acq,proc,mon,idle0,idle1,other,total_ticks,tasks
1.37,82.06,2.11,95.41,17.68,1.05,3157600,8
1.34,88.84,1.95,96.25,11.11,0.46,7231810,8
1.34,86.49,1.9,96.45,9.28,0.29,11306210,8
1.34,88.54,1.9,96.54,8.49,0.22,15381121,8
1.34,89.74,1.9,96.59,8.02,0.17,19456161,8
1.34,90.53,1.88,96.62,7.71,0.14,23531081,8
1.34,91.08,1.88,96.65,7.49,0.12,27606024,8
1.34,91.5,1.89,96.67,7.33,0.1,31681023,8
1.34,91.81,1.89,96.68,7.2,0.09,35756063,8
1.34,92.07,1.88,96.69,7.1,0.08,39831083,8
1.34,92.28,1.88,96.7,7.01,0.08,43906202,8
1.34,92.45,1.88,96.71,6.95,0.07,47981201,8
1.34,92.59,1.88,96.71,6.89,0.06,52056328,8
1.34,92.72,1.88,96.72,6.84,0.06,56131339,8
1.34,92.81,1.88,96.72,6.81,0.06,60206289,8
1.34,92.9,1.88,96.72,6.78,0.05,64281290,8
1.34,92.97,1.88,96.73,6.76,0.05,68356331,8
1.34,93.04,1.88,96.74,6.73,0.05,72433283,8
1.34,93.1,1.88,96.74,6.71,0.04,76508325,8
1.34,93.16,1.88,96.74,6.68,0.04,80583335,8
1.34,93.22,1.88,96.74,6.66,0.04,84658287,8
1.34,93.27,1.88,96.74,6.64,0.04,88733287,8
1.34,93.31,1.88,96.74,6.62,0.04,92808326,8
1.34,93.35,1.88,96.74,6.61,0.03,96883248,8
1.34,93.39,1.88,96.74,6.59,0.03,100958280,8
1.34,93.42,1.88,96.75,6.57,0.03,105033275,8
1.34,93.45,1.88,96.75,6.54,0.03,109109469,8
1.34,93.06,1.88,96.75,6.52,0.03,113193461,8
1.34,93.1,1.89,96.75,6.5,0.03,117271512,8
1.34,93.14,1.89,96.75,6.49,0.03,121349462,8
1.34,93.18,1.89,96.75,6.48,0.03,125427511,8
1.34,93.21,1.89,96.75,6.48,0.03,129505374,8
1.34,93.24,1.89,96.75,6.47,0.02,133581374,8
1.34,93.27,1.89,96.75,6.46,0.02,137657374,8
1.34,93.3,1.89,96.75,6.45,0.02,141734373,8
1.34,93.33,1.89,96.75,6.45,0.02,145809374,8
