acq,proc,mon,idle0,idle1,other,total_ticks,tasks
1.17,45.46,1.48,96.65,54.43,0.61,4653024,8
1.17,46.8,1.36,97.19,53.16,0.27,10726689,8
1.17,47.22,1.3,97.34,52.76,0.17,16800643,8
1.17,47.43,1.29,97.41,52.56,0.12,22874589,8
1.17,46.72,1.27,97.45,52.57,0.1,28948835,8
1.17,46.94,1.27,97.47,52.67,0.08,35022791,8
1.17,47.11,1.26,97.49,52.73,0.07,41097013,8
1.17,47.23,1.26,97.5,52.76,0.06,47171964,8
1.17,47.32,1.26,97.51,52.67,0.05,53247096,8
1.17,47.38,1.26,97.52,52.61,0.05,59322154,8
1.17,47.42,1.26,97.52,52.57,0.04,65397166,8
1.17,47.12,1.26,97.53,52.55,0.04,71472059,8
1.17,47.19,1.26,97.53,52.59,0.04,77547059,8
1.17,47.26,1.26,97.53,52.63,0.03,83622090,8
1.17,47.31,1.26,97.54,52.66,0.03,89697007,8
1.17,47.35,1.26,97.54,52.64,0.03,95772092,8
1.17,47.39,1.26,97.54,52.61,0.03,101847221,8
1.17,47.42,1.26,97.54,52.57,0.03,107922289,8
1.17,47.46,1.26,97.54,52.54,0.03,113997302,8
1.17,47.28,1.26,97.54,52.55,0.02,120072145,8
1.17,47.32,1.26,97.55,52.58,0.02,126147148,8
1.17,47.35,1.26,97.55,52.6,0.02,132222091,8
1.17,47.38,1.26,97.55,52.61,0.02,138297302,8
1.17,47.41,1.26,97.55,52.59,0.02,144372225,8
1.17,47.43,1.26,97.55,52.56,0.02,150447228,8
1.17,47.46,1.26,97.55,52.54,0.02,156522285,8
